Tags,Body,Title
 android binary invocationtargetexception ,    I know someone will respond this question as duplicate. Actually i already search and follow but still got error. In my emulator it working but when i run in real device i got that error. I already add dependencies which is<br>   compile 'com.android.support:appcompat-v:..'   compile 'com.android.support:design:..'`But still got error. I really don't know how to solve it. I also got this error. Caused by: android.view.InflateException: Binary XML file line #: Error inflating class android.support.design.widget.CoordinatorLayoutCaused by: java.lang.reflect.InvocationTargetExceptionCaused by: java.lang.IllegalArgumentException: You need to use a Theme.AppCompat theme (or descendant) with the design library.,    Error inflating class android.support.design.widget.CoordinatorLayout in real device but emulator worked
 android android-layout  ,    I cannot seem to get the Listener for a Swipe layout to fire.I have looked at the examples and other problems but nothing seems to work.Would really love to know what I am doing wrong.Here is my activity.main:&lt,    Cannot get SwipeLayout Listener to fire
 android ,    private TextView tv,    Touch listener on multiple Textviews?
 java android scroll imageview glide  ,    I have a list which contains posts that each contain one image. The ImageView width is set to match_parent so it's always the same. Thee ImageView height is set to wrap_content so the image height is not always the same. The last thing is what causes a problem with scrolling because I'm also using Glide. The system doesn't know how far it has to scroll until Glide loads the picture gets the dimensions of it and then resizes the ImageView. When the picture is done loading and the ImageView height is set the list \jumps\ and the screen shows another post. This is solved when wrap_content is replaced by a fixed value but this is not what I want because in that case there's a lot of empty space around the picture for some images.Is there any other way to achieve what I want?Edit: the solution works but it was still not what we wanted to achieve. We ended up changing the JSON. It now shows a ratio as well with which the size of the ImageView can be calculated before the picture is loaded. This way the ImageView has a fixed size anyway but it's an individual fixed size.,    Android: list jumps to other post when scrolling because ImageView height is wrap_content
 android proguard android-proguard ,    I get the following error when i try to build release build. I am using android studio . . I have added my gradle and proguard rules files below and i ma using mac with mac os XError:Execution failed for task ':app:packageRelease'.&gt,    Error:Execution failed for task &#;:app:packageRelease&#;. &gt; java.io.IOException: Failed to read zip file
 android android-studio version  ,    I'm using Android Studio .. and when opened an activity layout normally the preview should appear on the right side so that I can switch between Text and Design mode which should again show the preview of the layout. But no preview is shown not on the right side neither when I'm in text mode nor in the design mode. I just get the error rendering problems...When I compile everything and install the app on my device it works without any errors. For developing and experimenting with the layout it would still be nice if I could get the preview to work.I have also tried to switch between different devices in the studio but no success. Does anyone know how solve this?,    Android Studio rendering problems
 android mysql chat smack ,    I am implementing android one to one chat using ejabberd. i have enabled mod_mam modules in ejabberd config file. Now i am able to store chat in mysql db . But i am unable to retrieve chat history. I am using smack library in my android application.I googled my problem but could not found any solution.Sorry for my poor english.Thanks in advance.,    How can i retrieve chat history from mysql db using smack client ejabberd
 android camera appcelerator android-permissions runtime-permissions  ,    I'm using Appcelerator studio for developing my app. In this app I'm taking photos from camera and posting them to my server. For Android  I'm asking run time permissions from users for using camera. My code is working fine. But when I ask permission for camera on run time. It is asking  permissions<ol>Allow app to take photos and record videos.App will access gallery.App will use camera location.</ol>My question is why I'm seeing all these permissions when I'm only using camera for taking photos and how can I get rid of them?Code snippet:if (Ti.Media.hasCameraPermissions()) {        openCamera(),    Camera permissions in Appcelerator
 java android xml android-coordinatorlayout plaid ,    I try to make a pull to close on my fragment wish is a CoordinatorLayout with ApBarLayout and CollapsingToolbarlayout  well here my xml :&lt,    Plaid ElasticDragDismissFrameLayout with CoordinatorLayout
 android listview firebase firebase-database android-adapter  ,    I am trying to retrieve data from firebase database and displaying them on my listview. My app works fine on the android versions lower than . whereas in version . nothing is displayed in a listview. This is what I'm getting in logs:W/ClassMapper: No setter/field for uid found on class com.example.siddhi.ExpenseManager.Data.ExpenseW/ClassMapper: No setter/field for ExpenseTag found on class com.example.siddhi.ExpenseManager.Data.ExpenseHere is my adapter:public class BarAdapter  extends ArrayAdapter&lt,    How to populate a listview in android version . using firebase database?
 android android-ndk android-gradle ,    I was using the this method to get the NDK directory:project.plugins.findPlugin('com.android.library').sdkHandler.getNdkFolder()Ater updating com.android.tools.build:gradle to . the field sdkHandler seems to have been renamed on removed<blockquote>  Error:No such property: sdkHandler for class: com.android.build.gradle.LibraryPlugin</blockquote>Is there an alternative way to get the NDK directory path in a library module?,    No sdkHandler field in LibraryPlugin after updating to build tools ..
 android linux android-studio openstreetmap osmdroid  ,    I am trying to do a tutorial for making an Android application using osmdroid with android Studio but I didn't succeed to use the library I download on <a href=\https://github.com/osmdroid/osmdroid\ rel=ofollow noreferrer\>https://github.com/osmdroid/osmdroid</a>My questions are following : . Where do I have to put the folder download at: github.com/osmdroid/osmdroid ? I don't find any libs folder in home/android/sdk..Which version I have to put in this command: dependencies { compile 'org.osmdroid:osmdroid-android:(INSERT_VERSION_HERE):release‌​@aar' } instead of 'INSERT_VERSION_HERE'. I don't know how to find it.Thanks you very much in advance for your answers best regards,    Linux - How to install osmdroid libraries for android studio with Gradle?
 android sqlite ,    I want to query on my table where send status message is Airplane failure or No Service failure. I am using following query but this is not returning any data. String [] failureStatuses = {Constants.MESSAGE_FAILURE_NO_SERVICEConstants.MESSAGE_FAILURE_AIRPLANE},    Sqlite query with where clause IN not returning any result
 java php android json  ,    It has been days and I havent found any answer. And I am very new to android development. The problem I am facing is I keep on getting the error org.json.JSONException: End of input at character   and org.json.JSON.typeMismatch(JSON.java:) on my onPostExecute method@Overrideprotected void onPostExecute(String stringResult) {    Log.e(\DB\ \\ + stringResult),    org.json.JSON.typeMismatch(JSON.java:) in onPostExecute as well as org.json.JSONException: End of input at character 
 android windows connection wamp hotspot ,    I can't seem to find a solution for this. Either it hasn't been asked is impossible or I used wrong key words so I'm gonna try and ask here.My problem is that I have two phones and a laptop.My Laptop has WAMP .. on it and has my database and server.One phone is connected via tethering USB cable and has its Tethering Hotspot on.The other phone is connected to the first phone via Wifi to Hotspot connection.However when I try to use the method of http://IP:PORT on the second phone it shows a Not Allowed page instead of my Localhost page.Can anybody give some help on this?,    How can I connect to localhost using the Tetherigh Hotspot of a phone?
 android unityd unityscript facebook-unity-sdk unityd-dtools  ,    When I run the game using unity I get this error continuously in the console window and the loading screen is not going further next. Help me to fix this issue.<blockquote>  IndexOutOfRangeException: Array index is out of range.  DataCache.GetAchievementCacheData () (at  Assets/Scripts/Mission/Plugin/DataCache.cs:)</blockquote>Here is my code below    using System.IO,    IndexOutOfRangeException: Array index is out of range. DataCache.GetAchievementCacheData () (at Assets/Scripts/Mission/Plugin/DataCache.cs:)
 android ,    I want to display a full image without cut height/width on    android.support.v.view.ViewPager but when a set image in ImagePagerAdapter     adapter the image crops from both sides in my image gallery. Please help me: how to display a full image in the viewer?TOTAL_IMAGE=mAllImages.length-,    Display full image without cutting it in the ViewPager - how to fix that?
 java android sql autocompletetextview  ,    I am trying to use an AutoCompleteTextView in Popup box. but not getting the output.Here the complete code ,    Want to use AutoCompleteTextView under Popup box
 java php android database server ,    There is occurrence of undefined variable name error in the following code in usernameemailpassword even though  they are exactly defined inside the table.&lt,    Undefined variable name error in php
 android listview random position  ,    The position of the items in SwipeMenuListView changes randomly after scrolling. The items in the listview are also not visible like only items upto Item  is displayed in the Listview.Here is my code:public ArrayList&lt,    The position of the items in my SwipeMenuListView is random after scrolling
 android listview gridview drag-and-drop ,    In my Application i want to drag list item.In my list item i have text view and image. So for that I followed the bellow url<a href=\https://github.com/woxblom/DragListView\ rel=ofollow noreferrer\>https://github.com/woxblom/DragListView</a>By using this sample i changed my text view  and image view then displayed my data. And drag and drop also working fine. But the issue is image will not change. But the image is moving along with text. So my point is after dropping the item text is changed image wont changed. So how to change image alsoThis is the my Activitypublic class MainActivity extends AppCompatActivity {    private DragListView mDragListView,    How to drag list view item along with image in android
 java android material-design  ,    Im looking for an android library that will save me time recreating this navigation design in Android. Requirements:<ul>Background image should cover the entire drawerLogo container should be same size as the toolbar</ul><a href=\https://i.stack.imgur.com/KnXou.png\ rel=ofollow noreferrer\><img src=\https://i.stack.imgur.com/KnXou.png\ alt=\enter image description here\></a>,    Recreating website navigation in Android Drawer with library
 android imageview ,    I know there are a lot of examples on this question but l still couldn't finish following them Is there an easy way how to make circle ImageView  on android studio?,    How to make Circle ImageView onAndroid Studio
 android recyclerview layout-manager  ,    I want to scroll recyclerview that the selected item be in center screen so is it possible to get items position that are currently displayed on the screen ?Many thanks in advance,    RecyclerView items position scroll view (Android)
 java android shell terminal ffmpeg ,    Whenever I issue the following command no \intermediate.ts\ output file is created:getRuntime.exec(\ffmpeg -i input.mp -c copy -bsf:v h_mptoannexb -f mpegts intermediate.ts\)Even when using a String[] like this:String[] cmd = {\sh\\-c\\./ffmpeg -i input.mp -c copy -bsf:v h_mptoannexb -f mpegts intermediate.ts\}But when I open terminal emulator and write the same thing I get the correct output I'm looking for. Through Java I can get output from:ffmpeg -help But cannot create files using FFMpeg and Java's getRuntime.exec(). What am I doing wrong?,    Android FFMPEG - No output file being created
 android memory-leaks locationlistener leakcanary  ,    I've implemented a LocationListener in my Activity class. I'm getting memory leaks in LeakCanary. I've looked through <a href=\http://stackoverflow.com/questions//locationlistener-and-memory-leaks\>this</a>. But it doesn't work for me. I'm trying to make this work without using a service. My activity code is given below:     public class MyActivity extends AppCompatActivity implements LocationListener {            private LocationManager locationManager,    Android Memory Leaks in LocationListener LeakCanary trace
 android multithreading sqlite toast ,    I am updating a database (SQLite) with a lot of data which takes several minutes. I am doing this on a Thread. At the same time I want to show the progression of the updates (% % etc.) through a Toast. Since I am within a thread I need to use the runOnUiThread() function to run the Toast. Like this:getActivity().runOnUiThread(new Runnable() {                    public void run() {                        Toast.makeText(getActivity()\Updating the database...\ Toast.LENGTH_SHORT).show(),    Toast inside thread during heavy workload task
 android unityd  ,    Is it possible to read/write to the Android KeyStore from with Unity? We have one app done in Xamarin which stores the user credentials and we want to use these credentials in a UnityD app. I found a script to read/write iOS Key chain.They only documentation I was able to find so far was for creating a keystore in the build settings for an Android build.Thanks.,    Read/Write to Android KeyStore from Unity
 android android-edittext android-theme android-styles ,    i'm new to android and i got stucked on a small task...I found that EditText Uses a default color Accent for the pointer  so how can i change the Color of it ??<a href=\https://i.stack.imgur.com/MS.png\ rel=ofollow noreferrer\>ScreenShoot</a>on my edittext if i insert android:theme= @style/mytheme it will work but when i use style = \@style/mytheme\ it won't work :( . the problem is that when i use android:theme= @style/mytheme  EditText hint disapears . how can i change the color of it using custom style ? here is my code  &lt,    EditText uses color Accent for this pointer in the photo provided
 android android-studio ant signed  ,    For Android Application while generating Apk usually use signed apk what is the use of ant Apk generation? How to use it for android native apps where signed apk also is non debug-gable? Then what is the use of ant apk generation?,    For Android App Release what is difference between Ant build apk vs Android Signed Apk
 java android android-studio recyclerview ,    I have a problem with setting color from resources for an item in RecyclerView.I've tried this two methods but none works. Any ideas what am I doing wrong?holder.alert.setTextColor(R.color.alertGreen),    How to change color of a single item in RecyclerView?
 android mpandroidchart  ,    I don't know why and I can't search answer at github.sorry for my bad English.,    MPChartAndroid： when I turn the Pie Chartcolor of some pieces kept changing
 java android bitmap illegalargumentexception ,    I recently uploaded an <a href=\https://play.google.com/store/apps/details?id=de.krissini.server\ rel=ofollow noreferrer\>app</a> to the google play store. It works for some devices but not for big ones like the nexus . I get following stacktraces:java.lang.IllegalArgumentException: x + width must be &lt,    Get an error when screen is too big
 android charts bar-chart mpandroidchart  ,    I have this horizontal bar chart in my android app i am using mp android chart library. The problem is i need to make the text overlap the bars not behindthis is  my current bar chart<a href=\https://i.stack.imgur.com/qZlF.png\ rel=ofollow noreferrer\><img src=\https://i.stack.imgur.com/qZlF.png\ alt=\enter image description here\></a>and this is how i created my chart   BarDataSet dataset = new BarDataSet(entries \\),    Android horizontal bar chart make text overlap the image
 android ,    In Manifest I declared &lt,    Android didn&#;t find application class crash
 android listview android-asynctask indexoutofboundsexception dragsort  ,    I saw a tutorial on youtube showing how you can add data to sqlLite db and then display these data to a <a href=\https://www.youtube.com/watch?v=kCunDZpFk\ rel=ofollow noreferrer\>ListView Video</a>.After doing that... I applied DragSortListView to my listview... but everytime I drag a row. This error keeps on coming and I couldn't solve it :FATAL EXCEPTION: mainProcess: com.example.justi.ricksonbar PID: java.lang.IndexOutOfBoundsException: Index:  Size:   at java.util.ArrayList.get(ArrayList.java:)  at com.example.justi.ricksonbar.ProductAdapter.getItem(ProductAdapter.java:)  at com.example.justi.ricksonbar.BackgroundTask$.drop(BackgroundTask.java:)  at com.mobeta.android.dslv.DragSortListView.dropFloatView(DragSortListView.java:)  at com.mobeta.android.dslv.DragSortListView.access$(DragSortListView.java:)  at com.mobeta.android.dslv.DragSortListView$DropAnimator.onStop(DragSortListView.java:)  at com.mobeta.android.dslv.DragSortListView$SmoothAnimator.run(DragSortListView.java:)  at android.os.Handler.handleCallback(Handler.java:)  at android.os.Handler.dispatchMessage(Handler.java:)  at android.os.Looper.loop(Looper.java:)  at android.app.ActivityThread.main(ActivityThread.java:)  at java.lang.reflect.Method.invoke(Native Method)  at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:)  at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:)Here's my ProductAdapter.java¨import android.app.Activity,    I got &quot;IndexOutOfBoundsException&quot; when I try to drag down a row from my ListView (using DragSortListView)
